,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
143,"'Till I Collapse",Eminem,6059150,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
144,"Something Just Like This","The Chainsmokers",6042386,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
145,"jealousy, jealousy","Olivia Rodrigo",5991797,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
146,"The Nights",Avicii,5983198,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
147,Riptide,"Vance Joy",5964303,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
148,"Still Life",BIGBANG,5944671,https://open.spotify.com/track/3TSLqZssCoCdDlMhCJ08XW
149,"Mr. Brightside","The Killers",5919959,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
150,Perfect,"Ed Sheeran",5914379,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
151,"Gangsta's Paradise",Coolio,5894015,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
152,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",5844747,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
153,Heather,"Conan Gray",5837951,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
154,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,5830754,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
155,"Take Me To Church",Hozier,5822074,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
156,"IDGAF (with blackbear)",BoyWithUke,5795689,https://open.spotify.com/track/6Jrdb6CFOJEGaHjaa6c4WR
157,"One Dance",Drake,5791590,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
158,"Don't Be Shy",Tiësto,5761664,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
159,Circles,"Post Malone",5756296,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
160,"Super Gremlin","Kodak Black",5751659,https://open.spotify.com/track/1Y5Jvi3eLi4Chwqch9GMem
161,"Mood (feat. iann dior)",24kGoldn,5713291,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
162,"Talking to the Moon","Bruno Mars",5698054,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
163,Formula,Labrinth,5670619,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
164,"Wake Me Up",Avicii,5654094,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
165,"Just the Way You Are","Bruno Mars",5652729,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
166,"Hati-Hati di Jalan",Tulus,5640313,https://open.spotify.com/track/2hHeGD57S0BcopfVcmehdl
167,"Dance Monkey","Tones And I",5618929,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
168,"Just A Cloud Away","Pharrell Williams",5605803,https://open.spotify.com/track/0DGTcMqvVR7fmBXgiG6jz4
169,"In Da Club","50 Cent",5600596,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC
170,"All For Us",Labrinth,5573843,https://open.spotify.com/track/76YSWx6L6FNsuaP6GWBb8P
171,"Ain't Shit","Doja Cat",5571478,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
172,"Feel My Rhythm","Red Velvet",5562325,https://open.spotify.com/track/2oBMZYteeO8DyXV9gDx6Za
173,"No Lie","Sean Paul",5560777,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA
174,SAOKO,ROSALÍA,5556956,https://open.spotify.com/track/2FYGZDfsAnNsrm1gVbyKnG
175,"Ya No Somos Ni Seremos","Christian Nodal",5524512,https://open.spotify.com/track/0UXlu64mDLvfzR8IXMz06J
176,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",5521363,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
177,"Why'd You Only Call Me When You're High?","Arctic Monkeys",5491874,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
178,positions,"Ariana Grande",5479264,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
179,Stan,Eminem,5472932,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz
180,"Get Into It (Yuh)","Doja Cat",5471407,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
181,"When I Was Your Man","Bruno Mars",5468802,https://open.spotify.com/track/0B7wvvmu9EISAwZnOpjhNI
182,Hope,XXXTENTACION,5464006,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
183,"There's Nothing Holdin' Me Back","Shawn Mendes",5450303,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml
184,Señorita,"Shawn Mendes",5420937,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
185,"All of Me","John Legend",5383592,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
